ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
BP	GO:0010759	positive regulation of macrophage chemotaxis	20	0.538000762546504	1.51934673075478	0.0300509448216729	0.383546602670973	0.383546602670973	11456	tags=55%, list=26%, signal=41%	ENSG00000108691/ENSG00000120337/ENSG00000184371/ENSG00000111199/ENSG00000171860/ENSG00000138379/ENSG00000197405/ENSG00000182578/ENSG00000137801/ENSG00000271503/ENSG00000106538	0.352487857583619
BP	GO:0051412	response to corticosterone	14	-0.583891600624633	-1.51900403932655	0.0478011472275335	0.512661224555379	0.512661224555379	7461	tags=29%, list=17%, signal=24%	ENSG00000129673/ENSG00000277586/ENSG00000164326/ENSG00000147571	0.287857117255149
MF	GO:0004935	adrenergic receptor activity	10	-0.637702972332221	-1.51833860847362	0.048828125	0.519262377628638	0.519262377628638	8021	tags=60%, list=18%, signal=49%	ENSG00000043591/ENSG00000188778/ENSG00000181656/ENSG00000171873/ENSG00000170214/ENSG00000184160	0.287857117255149
MF	GO:0141052	histone H3 demethylase activity	28	-0.504542715789799	-1.51799297431091	0.0224039301260101	0.334262333208232	0.334262333208232	106	tags=7%, list=0%, signal=7%	ENSG00000183878/ENSG00000012817	0.352487857583619
BP	GO:0032958	inositol phosphate biosynthetic process	23	0.525639156682275	1.51665279955516	0.0286051612060508	0.373342049303347	0.373342049303347	3800	tags=26%, list=9%, signal=24%	ENSG00000171631/ENSG00000115956/ENSG00000143772/ENSG00000161896/ENSG00000152266/ENSG00000086544	0.352487857583619
BP	GO:0002699	positive regulation of immune effector process	225	0.34165633491496	1.51650951722098	0.000448511434731131	0.0398876943753464	0.0398876943753464	11019	tags=33%, list=25%, signal=25%	ENSG00000143184/ENSG00000183542/ENSG00000160862/ENSG00000115594/ENSG00000118520/ENSG00000000938/ENSG00000282608/ENSG00000096088/ENSG00000114013/ENSG00000160255/ENSG00000186146/ENSG00000203710/ENSG00000095970/ENSG00000113520/ENSG00000115604/ENSG00000204936/ENSG00000244731/ENSG00000224389/ENSG00000118640/ENSG00000196843/ENSG00000136634/ENSG00000239732/ENSG00000122122/ENSG00000110944/ENSG00000204287/ENSG00000129988/ENSG00000134545/ENSG00000066336/ENSG00000162511/ENSG00000196352/ENSG00000172243/ENSG00000019582/ENSG00000168961/ENSG00000125538/ENSG00000033327/ENSG00000163251/ENSG00000162594/ENSG00000135046/ENSG00000171777/ENSG00000204592/ENSG00000138684/ENSG00000169896/ENSG00000168040/ENSG00000125730/ENSG00000162739/ENSG00000204642/ENSG00000162711/ENSG00000158485/ENSG00000165732/ENSG00000100219/ENSG00000189013/ENSG00000166278/ENSG00000179630/ENSG00000161955/ENSG00000081237/ENSG00000124253/ENSG00000126804/ENSG00000196126/ENSG00000107201/ENSG00000169194/ENSG00000187997/ENSG00000150782/ENSG00000185896/ENSG00000127666/ENSG00000234745/ENSG00000186827/ENSG00000134539/ENSG00000122376/ENSG00000117586/ENSG00000141574/ENSG00000164251/ENSG00000133247/ENSG00000166710/ENSG00000137033/ENSG00000167207	0.49849310876659
MF	GO:0042834	peptidoglycan binding	15	0.567534964965513	1.51588807111417	0.0357027161429877	0.415354857858463	0.415354857858463	3685	tags=40%, list=8%, signal=37%	ENSG00000132465/ENSG00000211899/ENSG00000137462/ENSG00000095970/ENSG00000161031/ENSG00000165799	0.321775918075361
BP	GO:0030316	osteoclast differentiation	92	0.384157553200533	1.51548298060678	0.0057797301217618	0.171198885486086	0.171198885486086	5800	tags=23%, list=13%, signal=20%	ENSG00000123610/ENSG00000145107/ENSG00000216588/ENSG00000162891/ENSG00000163823/ENSG00000204577/ENSG00000095970/ENSG00000113520/ENSG00000174564/ENSG00000016402/ENSG00000091513/ENSG00000184371/ENSG00000110944/ENSG00000152192/ENSG00000182718/ENSG00000186818/ENSG00000066336/ENSG00000064932/ENSG00000033327/ENSG00000172216/ENSG00000162594	0.407017918923954
BP	GO:0051446	positive regulation of meiotic cell cycle	16	-0.570024855255952	-1.5150865266035	0.0272575036300865	0.364874884330308	0.364874884330308	6883	tags=31%, list=16%, signal=26%	ENSG00000159899/ENSG00000182621/ENSG00000164256/ENSG00000237452/ENSG00000158402	0.352487857583619
BP	GO:0006119	oxidative phosphorylation	132	-0.364617078420149	-1.51492433321619	0.0031971376548678	0.126567255123748	0.126567255123748	16945	tags=52%, list=39%, signal=32%	ENSG00000124172/ENSG00000150756/ENSG00000168653/ENSG00000143252/ENSG00000103254/ENSG00000122696/ENSG00000110717/ENSG00000115944/ENSG00000142082/ENSG00000198888/ENSG00000166136/ENSG00000145335/ENSG00000109390/ENSG00000198763/ENSG00000139180/ENSG00000198899/ENSG00000140740/ENSG00000184076/ENSG00000116459/ENSG00000090266/ENSG00000174886/ENSG00000178741/ENSG00000165678/ENSG00000125356/ENSG00000108179/ENSG00000178127/ENSG00000131174/ENSG00000154723/ENSG00000167283/ENSG00000182199/ENSG00000204370/ENSG00000099624/ENSG00000189043/ENSG00000151366/ENSG00000137806/ENSG00000147123/ENSG00000152234/ENSG00000233954/ENSG00000145494/ENSG00000065518/ENSG00000212907/ENSG00000023228/ENSG00000170906/ENSG00000173660/ENSG00000128609/ENSG00000167863/ENSG00000213619/ENSG00000137288/ENSG00000164919/ENSG00000172115/ENSG00000170312/ENSG00000004779/ENSG00000136521/ENSG00000183648/ENSG00000248746/ENSG00000184983/ENSG00000229344/ENSG00000204922/ENSG00000176340/ENSG00000199038/ENSG00000169021/ENSG00000172171/ENSG00000232810/ENSG00000267855/ENSG00000176410/ENSG00000099795/ENSG00000187581/ENSG00000115286/ENSG00000160471	0.431707695803346
